Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Tシャツの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/tee.png","大人服の無料型紙","","ドロップショルダーのゆったりTシャツをニットでさくっと手作り。前後身頃と袖の3パーツ構成。カタガミで体型に合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-tee.html","","Tシャツ, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"エプロンの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/apron.png","大人服の無料型紙","","台形本体に腰ひも・首ひもを付けた定番エプロンの作り方。3パーツで簡単。家事用やカフェ風に。カタガミでサイズ調整した型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-apron.html","","エプロン, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"Aラインスカートの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/skirt.png","大人服の無料型紙","","ゴムウエストの簡単Aラインスカートの作り方。前後を「わ」で裁つ2枚仕立て。タックなしで初心者向け。カタガミで体型に合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-skirt.html","","Aラインスカート, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"フレアスカートの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/flareskirt.png","大人服の無料型紙","","円を使ったサーキュラー（フレア）スカートの作り方。フルサークル・ハーフサークルが選べる扇形の型紙で、ウエストはゴム仕様。カタガミで体型に合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-flareskirt.html","","フレアスカート, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"マーメイドスカートの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/mermaid.png","大人服の無料型紙","","腰回りはタイト、裾だけ広がるマーメイドスカートの作り方。上下2枚を切り替えで接ぐ4枚仕立て。ウエストはゴム仕様。カタガミで体型に合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-mermaid.html","","マーメイドスカート, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ノースリーブワンピースの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/sleevedress.png","大人服の無料型紙","","前後身頃とスカートを接ぐシンプルなノースリーブワンピースの作り方。衿ぐり・袖ぐりはバイアステープ始末。Aラインシルエットで初〜中級者向け。カタガミで体型に合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-sleevedress.html","","ノースリーブワンピース, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ギャザースカート（大人）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/adultgather.png","大人服の無料型紙","","長方形を縫ってウエストにゴムを通すだけの、いちばん簡単なギャザースカートの作り方。前後2枚を脇で縫うだけ。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-adultgather.html","","ギャザースカート, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ワイドパンツ（ゴムウエスト）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/widepants.png","大人服の無料型紙","","ゆったりストレートのゴムウエストワイドパンツの作り方。前後同じ型紙で股ぐり・脇を縫い、ウエストにゴムを通すだけ。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-widepants.html","","ワイドパンツ, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ハーフパンツ（大人）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/halfpants.png","大人服の無料型紙","","大人向けゴムウエストハーフパンツの作り方。前後同じ型紙の4枚裁ちで、ウエストにゴムを通すだけ。ひざ丈・膝上など股下丈を自由に調整できます。カタガミでサイズ別型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-halfpants.html","","ハーフパンツ, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"チュニックの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/tunic.png","大人服の無料型紙","","大人向けチュニックの作り方。ドロップショルダーのゆったりロング丈トップス。前後身頃と袖の3枚裁ちで、ニット・ダブルガーゼ・リネンに対応。カタガミでサイズ別型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-tunic.html","","チュニック, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
