"Board","Image file","Title","Description","Destination URL"
"Women's Clothes Patterns","pins/en/tee.png","T-shirt — Free PDF Sewing Pattern (Print at Home)","A relaxed drop-shoulder box tee: front and back bodice plus sleeves. It's a great intro to sewing with knits. Baste first to check the neckline and armholes before final stitching. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-tee.html"
"Women's Clothes Patterns","pins/en/apron.png","Apron — Free PDF Sewing Pattern (Print at Home)","A simple apron: a trapezoid body with two waist ties and one neck tie. Hem the edges, make and attach the ties, and add a pocket if you like. Sturdy fabric works best. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-apron.html"
"Women's Clothes Patterns","pins/en/skirt.png","A-line skirt — Free PDF Sewing Pattern (Print at Home)","A simple A-line skirt with an elastic waist: two pieces cut on the fold, sewn at the sides, with an elastic casing at the top. A great first garment — and you can make it in your exact size. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-skirt.html"
"Women's Clothes Patterns","pins/en/flareskirt.png","Circle skirt — Free PDF Sewing Pattern (Print at Home)","A flowing circle skirt cut from a fan-shaped pattern. The circular shape itself creates beautiful drape — no darts or gathers. Choose a full circle for maximum flare, or a half circle to use less fabric. Elastic waist for comfort. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-flareskirt.html"
"Women's Clothes Patterns","pins/en/mermaid.png","Mermaid skirt — Free PDF Sewing Pattern (Print at Home)","Fitted from the waist to below the knee, then flaring out like a fishtail. An upper panel (waist to seam) and a lower panel (seam to hem) are joined, four pieces in all. You can move the seam position and change the flare. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-mermaid.html"
"Women's Clothes Patterns","pins/en/sleevedress.png","Sleeveless dress — Free PDF Sewing Pattern (Print at Home)","A simple sleeveless dress: a bodice joined to an A-line skirt, with the neckline and armholes simply bound in bias tape. With no sleeves it's an easy build — a great next step once you're comfortable with tees and skirts. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-sleevedress.html"
"Women's Clothes Patterns","pins/en/adultgather.png","Gathered skirt (adult) — Free PDF Sewing Pattern (Print at Home)","Sew two rectangles and run elastic through the waist — the easiest skirt there is, and a perfect first sewing project. The gather ratio sets the fabric width and how full it looks. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-adultgather.html"
"Women's Clothes Patterns","pins/en/widepants.png","Wide pants (elastic waist) — Free PDF Sewing Pattern (Print at Home)","Easy, relaxed wide-leg pants with an elastic waist. The front and back use the same pattern, so they're quick to make and great year-round in linen or cotton. Just baste the crotch curve to check the fit. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-widepants.html"
"Women's Clothes Patterns","pins/en/halfpants.png","Shorts (adult) — Free PDF Sewing Pattern (Print at Home)","Relaxed elastic-waist shorts. Four pieces from one pattern: sew the crotch, sew the sides, hem and run elastic through the waist. Change the inseam for knee-length or shorter — a summer staple. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-halfpants.html"
"Women's Clothes Patterns","pins/en/tunic.png","Tunic — Free PDF Sewing Pattern (Print at Home)","A relaxed long top that covers to above the knee. It's the same drop-shoulder draft as the T-shirt — just longer in the body and sleeves. If you can sew a tee, you can sew this. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-tunic.html"
"Women's Clothes Patterns","pins/en/camisole.png","Camisole — Free PDF Sewing Pattern (Print at Home)","A simple camisole: sew the front and back at the sides, finish the neckline and armholes, and add straps. The front has a U neckline and the back a shallow neck. Works in almost any fabric. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-camisole.html"
"Women's Clothes Patterns","pins/en/blouse.png","Blouse — Free PDF Sewing Pattern (Print at Home)","A button-down blouse with set-in sleeves: the back is cut on the fold and the front as two pieces with a button stand. Best in woven fabric. Casual or smart depending on your fabric. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-blouse.html"
"Women's Clothes Patterns","pins/en/onepiece.png","Dress (with sleeves) — Free PDF Sewing Pattern (Print at Home)","A waist-seam dress: a fitted bodice joined to an A-line skirt, with set-in sleeves and a bias-bound neckline. Comfortable and pretty in woven fabric like cotton, linen or double gauze. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-onepiece.html"
"Women's Clothes Patterns","pins/en/jacket.png","Jacket — Free PDF Sewing Pattern (Print at Home)","A front-button jacket with set-in sleeves: the back is cut on the fold, the front as two pieces with a button stand. Best in thicker woven fabric. Add a lining for a dressier finish, or leave it single-layer for casual wear. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-jacket.html"
"Women's Clothes Patterns","pins/en/coat.png","Coat — Free PDF Sewing Pattern (Print at Home)","A front-button A-line coat with set-in sleeves: the back is cut on the fold, the front as two pieces with a button stand. Best in heavy fabric like wool, tweed or quilted fabric. A lining makes the finish even nicer. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #dressmaking","https://katagami.org/en/howto-coat.html"
