Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"T-shirt — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/tee.png","Women's Clothes Patterns","","A relaxed drop-shoulder box tee: front and back bodice plus sleeves. It's a great intro to sewing with knits. Baste first to check the neckline and armholes before final stitching. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-tee.html","","t-shirt, how to sew, knit fabric, sewing pattern, drop shoulder, handmade clothes, free sewing pattern, PDF pattern, print at home, DIY sewing, handmade"
"Apron — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/apron.png","Women's Clothes Patterns","","A simple apron: a trapezoid body with two waist ties and one neck tie. Hem the edges, make and attach the ties, and add a pocket if you like. Sturdy fabric works best. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-apron.html","","apron, how to sew, sewing pattern, half apron, kitchen, handmade, ties, free sewing pattern, PDF pattern, print at home, DIY sewing"
"A-line skirt — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/skirt.png","Women's Clothes Patterns","","A simple A-line skirt with an elastic waist: two pieces cut on the fold, sewn at the sides, with an elastic casing at the top. A great first garment — and you can make it in your exact size. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-skirt.html","","A-line skirt, elastic waist, how to sew, sewing pattern, beginner skirt, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Circle skirt — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/flareskirt.png","Women's Clothes Patterns","","A flowing circle skirt cut from a fan-shaped pattern. The circular shape itself creates beautiful drape — no darts or gathers. Choose a full circle for maximum flare, or a half circle to use less fabric. Elastic waist for comfort. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-flareskirt.html","","circle skirt, flare skirt, full circle, half circle, how to sew, sewing pattern, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Mermaid skirt — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/mermaid.png","Women's Clothes Patterns","","Fitted from the waist to below the knee, then flaring out like a fishtail. An upper panel (waist to seam) and a lower panel (seam to hem) are joined, four pieces in all. You can move the seam position and change the flare. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-mermaid.html","","mermaid skirt, fishtail skirt, how to sew, sewing pattern, fitted skirt, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Sleeveless dress — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/sleevedress.png","Women's Clothes Patterns","","A simple sleeveless dress: a bodice joined to an A-line skirt, with the neckline and armholes simply bound in bias tape. With no sleeves it's an easy build — a great next step once you're comfortable with tees and skirts. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-sleevedress.html","","sleeveless dress, a-line dress, how to sew, sewing pattern, summer dress, bias binding, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Gathered skirt (adult) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/adultgather.png","Women's Clothes Patterns","","Sew two rectangles and run elastic through the waist — the easiest skirt there is, and a perfect first sewing project. The gather ratio sets the fabric width and how full it looks. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-adultgather.html","","gathered skirt, elastic waist, easy skirt, how to sew, sewing pattern, beginner, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Wide pants (elastic waist) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/widepants.png","Women's Clothes Patterns","","Easy, relaxed wide-leg pants with an elastic waist. The front and back use the same pattern, so they're quick to make and great year-round in linen or cotton. Just baste the crotch curve to check the fit. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-widepants.html","","wide pants, palazzo pants, elastic waist, how to sew, sewing pattern, linen pants, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Shorts (adult) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/halfpants.png","Women's Clothes Patterns","","Relaxed elastic-waist shorts. Four pieces from one pattern: sew the crotch, sew the sides, hem and run elastic through the waist. Change the inseam for knee-length or shorter — a summer staple. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-halfpants.html","","shorts, elastic waist shorts, how to sew, sewing pattern, easy shorts, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Tunic — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/tunic.png","Women's Clothes Patterns","","A relaxed long top that covers to above the knee. It's the same drop-shoulder draft as the T-shirt — just longer in the body and sleeves. If you can sew a tee, you can sew this. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-tunic.html","","tunic, drop shoulder, how to sew, sewing pattern, double gauze, linen, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
